bid_id,product_id,buyer_id,date_bid,bid_price,bid_status
1,13,6,2023-06-14 07:44:37,138600000,Sent
2,2,41,2023-04-10 12:07:56,279500000,Sent
3,17,4,2022-08-21 22:43:23,132000000,Sent
4,23,49,2023-03-10 02:34:30,246870000,Sent
5,44,34,2023-06-11 19:28:42,232700000,Sent
6,18,25,2023-06-20 18:59:24,115200000,Sent
7,28,35,2022-07-25 06:13:33,148500000,Sent
8,41,20,2023-11-18 08:07:59,455000000,Sent
9,27,10,2023-11-25 02:29:02,264600000,Sent
10,1,42,2023-09-25 18:33:44,192500000,Sent
11,7,50,2022-12-08 14:17:41,116400000,Sent
12,40,19,2023-08-10 15:58:53,518050000,Sent
13,5,50,2023-12-07 13:22:28,136400000,Sent
14,33,25,2023-05-12 04:51:43,237600000,Sent
15,23,24,2023-06-02 13:10:43,227880000,Sent
16,46,9,2023-03-06 02:01:45,150000000,Sent
17,6,35,2023-12-31 19:55:25,136800000,Sent
18,6,22,2023-12-23 15:30:19,125400000,Sent
19,28,34,2023-02-11 16:47:38,175500000,Sent
20,1,8,2023-09-26 08:40:42,192500000,Sent
21,35,41,2023-12-29 05:10:14,195800000,Sent
22,25,11,2023-12-23 11:47:12,261300000,Sent
23,5,38,2023-12-16 04:11:42,136400000,Sent
24,35,25,2023-12-15 01:25:00,195800000,Sent
25,45,28,2023-11-01 09:03:32,437250000,Sent
26,41,4,2023-05-02 08:55:08,420000000,Sent
27,26,48,2023-01-03 09:31:30,221000000,Sent
28,2,9,2023-06-10 17:15:24,236500000,Sent
29,21,30,2023-08-27 07:27:25,209000000,Sent
30,17,43,2023-06-10 17:24:44,156000000,Sent
31,31,2,2023-04-03 22:08:26,283200000,Sent
32,3,23,2023-05-13 14:29:50,178200000,Sent
33,49,29,2023-12-30 17:03:46,120000000,Sent
34,36,48,2023-11-30 20:10:29,539500000,Sent
35,22,48,2023-09-16 03:18:54,289900000,Sent
36,27,47,2023-11-27 18:20:09,242550000,Sent
37,23,46,2023-08-27 13:04:14,246870000,Sent
38,2,43,2023-12-20 14:38:54,236500000,Sent
39,41,29,2023-08-26 23:12:47,420000000,Sent
40,41,20,2023-09-01 09:58:50,420000000,Sent
41,11,28,2023-12-17 10:41:42,169000000,Sent
42,27,50,2023-12-16 05:58:40,264600000,Sent
43,5,2,2023-12-10 16:19:15,136400000,Sent
44,46,11,2022-12-13 22:12:39,150000000,Sent
45,44,34,2023-11-23 18:33:54,232700000,Sent
46,10,21,2023-04-23 13:54:53,150150000,Sent
47,24,34,2023-08-15 17:57:51,199200000,Sent
48,43,33,2023-02-17 14:50:01,223200000,Sent
49,16,36,2023-10-02 03:34:40,99600000,Sent
50,48,9,2023-08-18 03:00:53,184800000,Sent
