"bid_id","product_id","buyer_id","date_bid","bid_price","bid_status"
51,1,2,"2023-08-01",200000000,"Sent"
1,13,6,"2023-06-14",138600000,"Sent"
2,2,41,"2023-04-10",279500000,"Sent"
3,17,4,"2022-08-21",132000000,"Sent"
4,23,49,"2023-03-10",246870000,"Sent"
5,44,34,"2023-06-11",232700000,"Sent"
6,18,25,"2023-06-20",115200000,"Sent"
7,28,35,"2022-07-25",148500000,"Sent"
8,41,20,"2023-11-18",455000000,"Sent"
9,27,10,"2023-11-25",264600000,"Sent"
10,1,42,"2023-09-25",192500000,"Sent"
11,7,50,"2022-12-08",116400000,"Sent"
12,40,19,"2023-08-10",518050000,"Sent"
13,5,50,"2023-12-07",136400000,"Sent"
14,33,25,"2023-05-12",237600000,"Sent"
15,23,24,"2023-06-02",227880000,"Sent"
16,46,9,"2023-03-06",150000000,"Sent"
17,6,35,"2023-12-31",136800000,"Sent"
18,6,22,"2023-12-23",125400000,"Sent"
19,28,34,"2023-02-11",175500000,"Sent"
20,1,8,"2023-09-26",192500000,"Sent"
21,35,41,"2023-12-29",195800000,"Sent"
22,25,11,"2023-12-23",261300000,"Sent"
23,5,38,"2023-12-16",136400000,"Sent"
24,35,25,"2023-12-15",195800000,"Sent"
25,45,28,"2023-11-01",437250000,"Sent"
26,41,4,"2023-05-02",420000000,"Sent"
27,26,48,"2023-01-03",221000000,"Sent"
28,2,9,"2023-06-10",236500000,"Sent"
29,21,30,"2023-08-27",209000000,"Sent"
30,17,43,"2023-06-10",156000000,"Sent"
31,31,2,"2023-04-03",283200000,"Sent"
32,3,23,"2023-05-13",178200000,"Sent"
33,49,29,"2023-12-30",120000000,"Sent"
34,36,48,"2023-11-30",539500000,"Sent"
35,22,48,"2023-09-16",289900000,"Sent"
36,27,47,"2023-11-27",242550000,"Sent"
37,23,46,"2023-08-27",246870000,"Sent"
38,2,43,"2023-12-20",236500000,"Sent"
39,41,29,"2023-08-26",420000000,"Sent"
40,41,20,"2023-09-01",420000000,"Sent"
41,11,28,"2023-12-17",169000000,"Sent"
42,27,50,"2023-12-16",264600000,"Sent"
43,5,2,"2023-12-10",136400000,"Sent"
44,46,11,"2022-12-13",150000000,"Sent"
45,44,34,"2023-11-23",232700000,"Sent"
46,10,21,"2023-04-23",150150000,"Sent"
47,24,34,"2023-08-15",199200000,"Sent"
48,43,33,"2023-02-17",223200000,"Sent"
49,16,36,"2023-10-02",99600000,"Sent"
50,48,9,"2023-08-18",184800000,"Sent"
